Player,Tm,FantPos,G,PPR,storage
Kyle Rudolph,MIN,TE,16,113.7,113.7
Kyler Murray,ARI,QB,16,285.3,285.3
Lamar Jackson*+,BAL,QB,15,415.7,415.7
Lance Kendricks,LAC,TE,12,8.0,8.0
Laquon Treadwell,MIN,WR,13,33.4,33.4
Larry Fitzgerald,ARI,WR,16,177.4,177.4
Latavius Murray,NOR,RB,16,157.2,157.2
Le'Veon Bell,NYJ,RB,15,215.0,215.0
LeSean McCoy,KAN,RB,13,118.6,118.6
Lee Smith,BUF,WR,16,13.1,13.1
Leonard Fournette,JAX,RB,15,259.4,259.4
Levine Toilolo,SFO,TE,13,3.0,3.0
Lil'Jordan Humphrey,NOR,N/A,5,0.0,0.0
Logan Thomas,DET,TE,16,39.3,39.3
Luke Falk,NYJ,QB,3,8.6,8.6
Luke Stocker,ATL,TE,15,13.3,13.3
Luke Willson,SEA,TE,8,15.9,15.9
Mack Hollins,2TM,WR,16,22.5,22.5
Malcolm Brown,LAR,RB,14,59.1,59.1
Malik Turner,SEA,WR,15,45.5,45.5
Marcedes Lewis,GNB,TE,16,36.6,36.6
Marcell Ateman,OAK,WR,11,14.6,14.6
Marcus Johnson,IND,WR,8,56.7,56.7
Marcus Mariota,TEN,QB,7,85.0,85.0
Mark Andrews*,BAL,TE,15,207.2,207.2
Mark Ingram*,BAL,RB,15,242.5,242.5
Mark Walton,MIA,RB,7,42.0,42.0
Marlon Mack,IND,RB,14,181.3,181.3
Marqise Lee,JAX,WR,6,4.9,4.9
Marquez Valdes-Scantling,GNB,WR,16,84.1,84.1
Marquise Brown,BAL,WR,14,146.4,146.4
Marquise Goodwin,SFO,WR,9,38.1,38.1
Marshawn Lynch,SEA,RB,1,9.4,9.4
Marvin Hall,DET,WR,9,39.8,39.8
Marvin Jones,DET,WR,13,193.9,193.9
Mason Rudolph,PIT,QB,10,108.8,108.8
Mason Schreck,CIN,N/A,2,0.0,0.0
Matt Barkley,BUF,QB,2,6.0,6.0
Matt Breida,SFO,RB,13,103.3,103.3
Matt LaCosse,NWE,TE,11,32.1,32.1
Matt Lengel,IND,N/A,1,0.0,0.0
Matt Moore,KAN,QB,6,42.3,42.3
Matt Ryan,ATL,QB,15,267.3,267.3
Matt Schaub,ATL,QB,6,32.9,32.9
Matthew Orzech,JAX,N/A,16,0.0,0.0
Matthew Slater*+,NWE,N/A,16,0.0,0.0
Matthew Stafford,DET,QB,8,166.6,166.6
Maxx Williams,ARI,TE,16,41.2,41.2
Mecole Hardman*,KAN,WR,16,119.5,119.5
Melvin Gordon,LAC,RB,12,180.8,180.8
Michael Burton,WAS,N/A,10,0.0,0.0
Michael Crabtree,ARI,WR,2,6.2,6.2
Michael Gallup,DAL,WR,14,212.7,212.7
Michael Thomas*+,NOR,WR,16,374.6,374.6
Michael Walker,JAX,WR,7,-0.5,-0.5
Mike Boone,MIN,RB,16,50.0,50.0
Mike Davis,2TM,RB,12,11.9,11.9
Mike Evans*,TAM,WR,13,232.7,232.7
Mike Gesicki,MIA,TE,16,136.0,136.0
Mike Glennon,OAK,QB,2,4.2,4.2
Mike Thomas,LAR,WR,16,3.4,3.4
Mike Williams,LAC,WR,15,161.3,161.3
Miles Boykin,BAL,WR,16,50.8,50.8
Miles Sanders,PHI,RB,16,218.7,218.7
Mitchell Trubisky,CHI,QB,15,202.8,202.8
Mo Alie-Cox,IND,TE,16,17.3,17.3
Mohamed Sanu,2TM,WR,15,124.1,124.1
MyCole Pruitt,TEN,TE,16,21.0,21.0
Myles Gaskin,MIA,RB,7,31.4,31.4
N'Keal Harry,NWE,WR,7,39.4,39.4
Nate Solder,NYG,N/A,16,0.0,0.0
Nelson Agholor,PHI,WR,11,94.0,94.0
Nick Bawden,DET,RB,10,5.7,5.7
Nick Bellore,SEA,RB,14,10.3,10.3
Nick Boyle,BAL,TE,16,75.1,75.1
Nick Chubb*,CLE,RB,16,255.2,255.2
Nick Foles ,JAX,QB,4,37.7,37.7
Nick Mullens,SFO,QB,1,-0.3,-0.3
